id,dish,grams,kcal,prot,fat,carb,eaten_at,deleted,created_at,updated_at,eaten_day,imageurl,mailid,ingridients,description,sugar,fiber,sodium,glycemicindex,saturatedfat,vitamins,minerals,healthbenefits,healthconcerns,overallhealthscore,recommendedintakedescr,packageinfo,targetlanguage,originalresult,issafeforuser,allergenid,allergenname,messageallergen,recommendedintakemaxfrequency,portionsize,quantity,quantityeaten,totalmultiplier,basegrams,preparationmethod,addon_sauce,addon_sugar,addon_oil,addon_cream,addon_cheese,addon_nuts,webhook_data,scan_id,scan_timestamp,scan_date
58,Cooked Duck Meat,100.00,674.00,56.00,50.00,0.00,,false,2025-06-08 08:46:29.33108+00,2025-06-08 08:46:29.33108+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749372339100.jpg?alt=media&token=15f62cc0-56c5-4f64-ad0c-d60763396324,2025052813545040996@nutrichecker.top,"[{""name"": ""duck meat""}, {""name"": ""duck skin""}, {""name"": ""salt""}, {""name"": ""pepper""}]",Portion of cooked duck meat with skin,0.00,,0.14,,18.00,"[""B3 (Niacin)"", ""B6"", ""B12""]","[""Iron"", ""Selenium"", ""Phosphorus"", ""Zinc""]","[""Excellent source of high-quality protein""]","[""High in total fat"", ""High in saturated fat""]",60,Consume in moderation due to high fat content. Pair with vegetables and whole grains for a balanced meal.,,ru,,true,,,,1-2 times per week,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1749372356718,,
59,Сэндвич с багетным хлебом и салями,100.00,560.00,21.00,24.00,66.00,,false,2025-06-08 12:04:31.330855+00,2025-06-08 12:04:31.330855+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749384227572.jpg?alt=media&token=7a270a83-757a-4003-bc4b-87cde347defc,2025060610563760851@nutrichecker.top,"[{""name"": ""багетный хлеб""}, {""name"": ""салями""}]",Один сэндвич с салями среднего размера в багете,1.00,3.00,1.50,65,8.00,"[""B1"", ""B2"", ""B3"", ""B12""]","[""Sodium"", ""Iron"", ""Zinc""]","[""Хороший источник белка""]","[""Высокое содержание насыщенных жиров"", ""Высокое содержание натрия"", ""Высокий гликемический индекс из-за белого хлеба""]",45,"Лучше всего употреблять в умеренных количествах как часть случайного приема пищи, а не как ежедневный продукт.",,ru,,false,,,,изредка,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1749384248536,,
60,Зеленые оливки,25.00,86.00,1.40,9.00,0.00,,false,2025-06-08 12:05:36.172241+00,2025-06-08 12:05:36.172241+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749384292966.jpg?alt=media&token=9b1c7396-185a-453b-ae18-e5c0d5a88517,2025060610563760851@nutrichecker.top,"[{""name"": ""зеленые оливки""}, {""name"": ""вода""}, {""name"": ""соль""}, {""name"": ""молочная кислота""}, {""name"": ""лимонная кислота""}, {""name"": ""сорбат калия""}, {""name"": ""аскорбиновая кислота""}]",Полная упаковка зеленых оливок (около 200 г),0.00,1.40,4.28,,8.00,"[""E"", ""K"", ""A""]","[""Iron"", ""Copper"", ""Calcium""]","[""Богаты полезными мононенасыщенными жирами""]","[""Высокое содержание натрия""]",65,"Могут употребляться ежедневно в умеренных количествах как часть здорового питания, уделяя внимание потреблению натрия.",,ru,,true,,,,ежедневно,regular,1,quarter,0.250,100,,0,0,0,0,0,0,,food_analysis_1749384316477,,
61,Черный кофе,100.00,5.00,0.50,0.00,0.00,,false,2025-06-08 12:07:51.609309+00,2025-06-08 12:07:51.609309+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749384427578.jpg?alt=media&token=9fa90395-1729-4d9a-b03d-9f414b2cdeb0,2025060610563760851@nutrichecker.top,"[{""name"": ""кофейные зерна""}, {""name"": ""вода""}]",Кружка черного кофе,0.00,,0.00,,0.00,"[""B2"", ""B3"", ""B5""]","[""Potassium"", ""Magnesium"", ""Manganese""]","[""Содержит антиоксиданты""]","[""Может вызывать дрожь или нарушения сна у чувствительных людей или при чрезмерном употреблении"", ""Может быть кислотным""]",80,Умеренное употребление (1-3 чашки) в день обычно считается здоровым для большинства взрослых,,ru,,true,,,,ежедневно,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1749384446347,,
62,Слайс шоколадно-вишневого торта,23.00,104.00,1.20,6.50,15.00,,false,2025-06-08 12:14:52.702372+00,2025-06-08 12:14:52.702372+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749384842074.jpg?alt=media&token=ada738e8-f9b4-4277-a332-734312c18af2,2025060610563760851@nutrichecker.top,"[{""name"": ""пшеничная мука""}, {""name"": ""сахар""}, {""name"": ""яйца""}, {""name"": ""какао-порошок""}, {""name"": ""сливочное масло""}, {""name"": ""молоко""}, {""name"": ""разрыхлитель""}, {""name"": ""ванильный экстракт""}, {""name"": ""взбитые сливки""}, {""name"": ""вишня""}, {""name"": ""шоколадная стружка""}]",Частично съеденный кусок торта на тарелке,10.40,0.50,0.30,75,16.00,[],[],"[""Обеспечивает быстрой энергией""]","[""Высокое содержание сахара"", ""Высокое содержание насыщенных жиров"", ""Высокая калорийность""]",25,Рекомендуется употреблять в очень маленьких порциях и как редкое лакомство из-за высокого содержания сахара и жира.,,ru,,false,,,,редко,small,1,third,0.231,100,,0,0,0,0,0,0,,food_analysis_1749384864577,,
63,Очищенный мандарин,100.00,45.00,0.70,0.30,11.00,,false,2025-06-08 20:15:29.829676+00,2025-06-08 20:15:29.829676+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749413692247.jpg?alt=media&token=54c2bae6-bb39-4dce-a0ea-d1102aaae07c,2025060610563760851@nutrichecker.top,"[{""name"": ""мандарин""}]",Один очищенный мандарин,9.00,1.50,0.00,47,0.00,"[""C"", ""A""]","[""Potassium"", ""Calcium""]","[""Высокое содержание витамина C""]",[],92,Отлично подходит для ежедневного употребления в качестве здорового перекуса или части приема пищи.,,ru,,true,,,,ежедневно,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1749413708918,,
64,Клубный сэндвич,100.00,530.00,38.00,28.00,45.00,,false,2025-06-08 22:45:53.749987+00,2025-06-08 22:45:53.749987+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749344132195.jpg?alt=media&token=d5b4985b-7607-4c33-b1b4-5f80bbdd1017,2025060611433897080@nutrichecker.top,"[{""name"": ""тосты""}, {""name"": ""салат""}, {""name"": ""помидор""}, {""name"": ""красный лук""}, {""name"": ""мясная нарезка (вероятно""}, {""name"": ""индейка или ветчина)""}, {""name"": ""сыр""}, {""name"": ""майонез (предположительно)""}]",Две половинки большого сэндвича на тарелке,5.00,5.00,1.20,55,10.00,"[""A"", ""C"", ""B Vitamins"", ""D""]","[""Calcium"", ""Iron"", ""Potassium"", ""Sodium""]","[""Хороший источник белка""]","[""Может содержать много натрия из-за мясной нарезки и обработанного сыра"", ""умеренное содержание жира""]",70,Может быть сбалансированным вариантом питания. При возможности выбирайте цельнозерновой хлеб и нежирное мясо.,,ru,,false,,,,ежедневно,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1749344151093,,
65,Сладкое печенье с овсом и изюмом,100.00,894.00,18.40,26.90,147.00,,false,2025-06-08 23:13:47.678337+00,2025-06-08 23:13:47.678337+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749344042529.jpg?alt=media&token=1a027983-c140-48ad-bea2-c81e487f1ec6,2025060611433897080@nutrichecker.top,"[{""name"": ""обогащенная пшеничная мука""}, {""name"": ""сахар""}, {""name"": ""изюм""}, {""name"": ""высокоолеиновое подсолнечное масло""}, {""name"": ""овсяные хлопья""}, {""name"": ""сухое обезжиренное молоко""}, {""name"": ""соль""}, {""name"": ""рисовая мука""}, {""name"": ""бикарбонат аммония""}, {""name"": ""бикарбонат натрия""}, {""name"": ""моно- и диглицериды жирных кислот""}, {""name"": ""соевый лецитин""}, {""name"": ""сложные эфиры пропиленгликоля жирных кислот""}, {""name"": ""калиевые соли жирных кислот""}, {""name"": ""метабисульфит натрия""}, {""name"": ""искусственный ароматизатор dulce de leche""}, {""name"": ""натуральный ароматизатор аниса""}]",Полная упаковка печенья,51.70,6.00,0.49,,2.70,"[""Thiamine (B1)"", ""Riboflavin (B2)"", ""Niacin (B3)"", ""Folic Acid""]","[""Iron""]","[""Источник клетчатки из овса""]","[""Высокое содержание сахара"", ""Содержит искусственные ароматизаторы""]",50,Употребляйте в умеренных количествах как часть сбалансированной диеты из-за высокого содержания сахара.,,ru,,false,,,,2-3 раза в неделю,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1749344072065,,
66,"Котлеты в панировке с зеленой фасолью, кукурузой и цельнозерновым хлебом",33.00,347.00,26.40,13.20,33.00,,false,2025-06-09 01:02:39.915401+00,2025-06-09 01:02:39.915401+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749430886221.jpg?alt=media&token=416305e3-5f2d-460a-b2f5-62270c3771e1,2025060610563760851@nutrichecker.top,"[{""name"": ""филе курицы или рыбы""}, {""name"": ""панировочные сухари (мука, панировочные сухари, яйцо)""}, {""name"": ""растительное масло""}, {""name"": ""зеленая фасоль""}, {""name"": ""кукурузные зерна""}, {""name"": ""цельнозерновой хлеб""}, {""name"": ""соль""}, {""name"": ""перец""}]","Тарелка с двумя котлетами в панировке, щедрой порцией смеси зеленой фасоли и кукурузы и двумя ломтиками цельнозернового хлеба",2.60,3.60,0.80,60,12.00,"[""B1"", ""B2"", ""B3"", ""B5"", ""B6"", ""B9"", ""B12"", ""C"", ""K""]","[""Iron"", ""Magnesium"", ""Phosphorus"", ""Selenium"", ""Zinc""]","[""Высокое содержание белка для роста и восстановления мышц""]","[""Высокая калорийность из-за большого размера порции и способа панировки/жарки котлет"", ""умеренное содержание жира"", ""особенно из-за процесса жарки""]",70,"Это полноценное блюдо, которое может быть частью сбалансированной диеты. Чтобы уменьшить потребление калорий и жиров, рассмотрите возможность уменьшения порций или альтернативных способов приготовления белка, таких как запекание или жарка на гриле, вместо жарки.",,ru,,false,,,,3-4 раза в неделю,regular,1,third,0.330,100,,0,0,0,0,0,0,,food_analysis_1749430916790,,
67,Банан,100.00,105.00,1.30,0.30,27.00,,false,2025-06-09 14:17:05.612357+00,2025-06-09 14:17:05.612357+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749478598116.jpg?alt=media&token=06280e46-f68c-4c2a-85d7-b644ba76920f,2025060611433897080@nutrichecker.top,"[{""name"": ""банан""}]",Один средний банан на тарелке,14.00,3.10,0.00,51,0.10,"[""C"", ""B6""]","[""Potassium"", ""Manganese"", ""Magnesium""]","[""Отличный источник калия""]","[""Относительно высокое содержание натуральных сахаров"", ""но сбалансировано клетчаткой""]",90,"Может употребляться в качестве полезного перекуса или части приема пищи, подходит для ежедневного употребления.",,ru,,true,,,,ежедневно,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1749478613732,,
68,Сэндвич с индейкой,100.00,380.00,25.00,15.00,40.00,,false,2025-06-11 19:06:28.320464+00,2025-06-11 19:06:28.320464+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749667171225.jpg?alt=media&token=9dc9cd2c-2d23-4823-9d4d-dded6f9f58bc,2025060611433897080@nutrichecker.top,"[{""name"": ""хлеб из цельной пшеницы""}, {""name"": ""грудка индейки""}, {""name"": ""салат""}, {""name"": ""помидор""}]",Один большой сэндвич с индейкой,5.00,5.00,1.00,55,4.00,"[""A"", ""C"", ""B6"", ""B12"", ""Niacin""]","[""Iron"", ""Potassium"", ""Zinc"", ""Selenium""]","[""Хороший источник нежирного белка""]","[""Может быть высоким содержанием натрия в зависимости от типа индейки и используемых приправ""]",80,"Сбалансированный и полезный вариант питания, подходящий для обеда или ужина.",,ru,,false,,,,ежедневно,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1749667190331,,
69,Cereal Mix Oats & Raisins Cookies,33.00,323.00,4.60,15.80,44.60,,false,2025-06-11 22:00:45.330975+00,2025-06-11 22:00:45.330975+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749679040318.jpg?alt=media&token=e2f04ce6-08da-48bf-bede-f23a332cede3,2025061118491622995@nutrichecker.top,"[{""name"": ""whole grain oats""}, {""name"": ""raisins""}, {""name"": ""high oleic sunflower oil""}, {""name"": ""sugar""}, {""name"": ""flour""}, {""name"": ""leavening agents""}, {""name"": ""salt""}]",Full package of cookies,21.50,4.30,0.60,68,15.00,"[""B1"", ""B3"", ""E""]","[""Iron"", ""Magnesium"", ""Potassium""]","[""Good source of energy""]","[""High sugar content"", ""High calorie content"", ""High fat content""]",45,Best consumed in moderation as an occasional treat due to high sugar and calorie content.,,ru,,true,,,,occasionally,regular,1,third,0.330,100,,0,0,0,0,0,0,,food_analysis_1749679059528,,
70,Roasted Duck with Bread and Side Dish,100.00,1250.00,66.00,88.00,35.00,,false,2025-06-11 23:47:22.336423+00,2025-06-11 23:47:22.336423+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749685592290.jpg?alt=media&token=3f5e4c9a-bdf3-4f0c-8f70-28e9df05f0d1,2025061118491622995@nutrichecker.top,"[{""name"": ""duck meat""}, {""name"": ""duck skin""}, {""name"": ""bread (likely whole grain)""}, {""name"": ""side dumpling/fritter""}]",Large portion of roasted duck with a slice of bread and a side dumpling/fritter,3.00,5.00,0.64,45,29.00,"[""B3"", ""B5"", ""B6"", ""B12""]","[""Iron"", ""Phosphorus"", ""Selenium"", ""Zinc"", ""Magnesium""]","[""High protein content""]","[""Very high in total fat"", ""High in saturated fat"", ""Potentially high sodium depending on preparation""]",60,Best consumed in moderation due to high fat and saturated fat content. Can be part of a balanced meal.,,ru,,true,,,,1-2 times per week,regular,1,all,1.000,100,,1,0,0,0,0,0,,food_analysis_1749685612685,,
71,Cereal Mix Oats & Raisins Biscuits,25.00,263.00,3.80,11.30,40.00,,false,2025-06-11 23:48:54.153204+00,2025-06-11 23:48:54.153204+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749685695927.jpg?alt=media&token=381fa173-0c8b-4085-a941-4c612a89ba4a,2025061118491622995@nutrichecker.top,"[{""name"": ""oat grain""}, {""name"": ""raisins""}, {""name"": ""high oleic sunflower oil""}, {""name"": ""sugar""}, {""name"": ""flour""}]",Entire package of oatmeal and raisin biscuits,22.50,3.00,1.50,55,15.00,"[""B1"", ""B5"", ""E""]","[""Iron"", ""Magnesium"", ""Potassium""]","[""Source of dietary fiber from oats""]","[""High sugar content"", ""Moderately high in fat""]",45,"Consume in moderation as part of a balanced diet, due to high sugar and fat content.",,ru,,false,,,,2-3 times per week,regular,1,quarter,0.250,100,,0,0,0,0,0,0,,food_analysis_1749685712963,,
72,Куриные котлеты в панировке со смесью овощей,50.00,500.00,37.50,25.50,40.00,,false,2025-06-12 00:48:12.195995+00,2025-06-12 00:48:12.195995+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749689221491.jpg?alt=media&token=6b3b3f84-f1f2-493a-84c9-29c29a2fe188,2025060610563760851@nutrichecker.top,"[{""name"": ""куриная грудка""}, {""name"": ""панировка/мука""}, {""name"": ""яйца""}, {""name"": ""растительное масло""}, {""name"": ""зеленый горошек""}, {""name"": ""кубики моркови""}, {""name"": ""кукурузные зерна""}, {""name"": ""стручковая фасоль""}, {""name"": ""соль""}, {""name"": ""перец""}]",Две котлеты в панировке со щедрой порцией овощной смеси на сковороде,5.00,4.00,1.60,,14.00,"[""A"", ""C"", ""K"", ""B1"", ""B2"", ""B3"", ""B6"", ""B12""]","[""Iron"", ""Zinc"", ""Potassium"", ""Magnesium""]","[""Отличный источник белка""]","[""Высокая калорийность из-за жарки и панировки"", ""Высокое содержание жира"", ""особенно из растительного масла"", ""Потенциально высокое содержание натрия в зависимости от приправ""]",55,"Лучше всего употреблять как редкое блюдо или небольшими порциями из-за высокой калорийности и содержания жира. Рассмотрите альтернативные способы приготовления, такие как запекание или жарка в аэрогриле, чтобы уменьшить количество жира.",,ru,,false,,,,изредка,regular,1,half,0.500,100,,0,0,0,0,0,0,,food_analysis_1749689249008,,
73,Sweet Cookies with Oats and Raisins,25.00,224.00,4.60,6.70,36.80,,false,2025-06-12 20:42:27.937609+00,2025-06-12 20:42:27.937609+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749760905269.jpg?alt=media&token=e2a91da1-c696-4418-b28f-fe5bf81eacfd,2025061118491622995@nutrichecker.top,"[{""name"": ""enriched wheat flour""}, {""name"": ""sugar""}, {""name"": ""raisins""}, {""name"": ""high oleic sunflower oil""}, {""name"": ""rolled oats""}, {""name"": ""skimmed milk powder""}, {""name"": ""salt""}, {""name"": ""rice flour""}, {""name"": ""ammonium bicarbonate""}, {""name"": ""sodium bicarbonate""}, {""name"": ""mono and diglycerides of fatty acids""}, {""name"": ""soy lecithin""}, {""name"": ""propylene glycol fatty acid esters""}, {""name"": ""potassium salts of fatty acids""}, {""name"": ""sodium metabisulfite""}, {""name"": ""dulce de leche artificial flavor""}, {""name"": ""anise natural flavor""}]",Full package of cookies,13.00,1.50,0.49,,2.70,"[""Thiamine (B1)"", ""Riboflavin (B2)"", ""Niacin (B3)"", ""Folic Acid""]","[""Iron""]","[""Source of energy""]","[""High sugar content"", ""Moderate fat content""]",45,Best consumed in moderation as part of an occasional treat due to high sugar content.,,ru,,false,,,,occasionally,regular,1,quarter,0.250,100,,0,0,0,0,0,0,,food_analysis_1749760933002,,
74,Strawberries,100.00,80.00,1.80,0.80,19.00,,false,2025-06-14 12:36:42.035157+00,2025-06-14 12:36:42.035157+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749904359359.jpg?alt=media&token=74e785e7-5484-4a3d-ac6c-112321aa3fea,2025061409135854968@nutrichecker.top,"[{""name"": ""strawberries""}]",Handful of fresh strawberries,12.00,5.00,0.01,40,0.10,"[""C"", ""K"", ""Folate""]","[""Manganese"", ""Potassium""]","[""Rich in Vitamin C""]",[],90,"Excellent addition to a daily diet, can be eaten as a snack or part of a meal",,ru,,true,,,,daily,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1749904372379,,
75,Cereal Mix - Oats & Raisins Cookies,25.00,243.00,3.00,10.30,35.00,,false,2025-06-14 13:19:19.302401+00,2025-06-14 13:19:19.302401+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749907124866.jpg?alt=media&token=56ce9cc0-33aa-4a79-b3f7-aa4279cd1539,2025061409135854968@nutrichecker.top,"[{""name"": ""oats""}, {""name"": ""raisins""}, {""name"": ""sunflower oil""}, {""name"": ""wheat flour""}, {""name"": ""sugar""}]",Full package of Cereal Mix - Oats & Raisins Cookies,23.30,2.00,0.50,60,8.00,"[""B1"", ""B5"", ""K""]","[""Iron"", ""Magnesium"", ""Potassium"", ""Zinc""]","[""Good source of dietary fiber from oats and raisins""]","[""High sugar content (indicated by 'EXCESO AZÚCARES')"", ""High caloric density""]",40,"Due to high sugar and calorie content, this product is best consumed in moderation as an occasional treat.",,ru,,true,,,,2-3 times per week,regular,1,quarter,0.250,100,,0,0,0,0,0,0,,food_analysis_1749907143552,,
